basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20200102,090430,KR7090430000,아모레퍼시픽,KOSPI,207500,7500,3.75,202500,209500,197000,244784,50022578500,58458490,12130136675000
20200103,090430,KR7090430000,아모레퍼시픽,KOSPI,206500,-1000,-.48,210000,212500,205000,235872,49229937500,58458490,12071678185000
20200106,090430,KR7090430000,아모레퍼시픽,KOSPI,207000,500,.24,204500,210000,203500,185010,38400188000,58458490,12100907430000
20200107,090430,KR7090430000,아모레퍼시픽,KOSPI,222500,15500,7.49,209000,222500,209000,487251,106923507000,58458490,13007014025000
20200108,090430,KR7090430000,아모레퍼시픽,KOSPI,214000,-8500,-3.82,219500,220000,211000,418040,89947987000,58458490,12510116860000
20200109,090430,KR7090430000,아모레퍼시픽,KOSPI,212000,-2000,-.93,218500,219000,210000,275845,59013145500,58458490,12393199880000
20200110,090430,KR7090430000,아모레퍼시픽,KOSPI,220500,8500,4.01,213500,221000,213500,309458,67434541000,58458490,12890097045000
20200113,090430,KR7090430000,아모레퍼시픽,KOSPI,232000,11500,5.22,223000,236000,221000,561971,129553951500,58458490,13562369680000
20200114,090430,KR7090430000,아모레퍼시픽,KOSPI,234500,2500,1.08,234500,238000,228500,329888,76901915500,58458490,13708515905000
20200115,090430,KR7090430000,아모레퍼시픽,KOSPI,234500,0,0,236000,238000,231500,199803,46798256500,58458490,13708515905000
20200116,090430,KR7090430000,아모레퍼시픽,KOSPI,236500,2000,.85,236000,236500,232000,216855,50896159500,58458490,13825432885000
20200117,090430,KR7090430000,아모레퍼시픽,KOSPI,236500,0,0,237000,240500,232000,249011,58824982500,58458490,13825432885000
20200120,090430,KR7090430000,아모레퍼시픽,KOSPI,225000,-11500,-4.86,236500,237000,222500,567605,128941290500,58458490,13153160250000
20200121,090430,KR7090430000,아모레퍼시픽,KOSPI,219000,-6000,-2.67,222000,227000,217000,445999,98099550000,58458490,12802409310000
20200122,090430,KR7090430000,아모레퍼시픽,KOSPI,223500,4500,2.05,215500,224500,215000,423623,93187519500,58458490,13065472515000
20200123,090430,KR7090430000,아모레퍼시픽,KOSPI,212500,-11000,-4.92,218500,219000,211000,467540,99664174750,58458490,12422429125000
20200128,090430,KR7090430000,아모레퍼시픽,KOSPI,194500,-18000,-8.47,195000,198000,191000,836404,162211381500,58458490,11370176305000
20200129,090430,KR7090430000,아모레퍼시픽,KOSPI,202500,8000,4.11,196500,203000,190500,639606,127089209500,58458490,11837844225000
20200130,090430,KR7090430000,아모레퍼시픽,KOSPI,194000,-8500,-4.2,202000,202000,191000,501382,97390363500,58458490,11340947060000
20200131,090430,KR7090430000,아모레퍼시픽,KOSPI,188000,-6000,-3.09,194500,197000,187000,412907,78768941000,58458490,10990196120000
20200203,090430,KR7090430000,아모레퍼시픽,KOSPI,191000,3000,1.6,181500,193000,179500,407737,76809855500,58458490,11165571590000
20200204,090430,KR7090430000,아모레퍼시픽,KOSPI,197000,6000,3.14,191500,198000,189000,418341,81788008000,58458490,11516322530000
20200205,090430,KR7090430000,아모레퍼시픽,KOSPI,182000,-15000,-7.61,199000,201500,180000,1075027,201292958000,58458490,10639445180000
20200206,090430,KR7090430000,아모레퍼시픽,KOSPI,183000,1000,.55,180500,184500,176000,836381,151289992500,58458490,10697903670000
20200207,090430,KR7090430000,아모레퍼시픽,KOSPI,178000,-5000,-2.73,182000,184500,176500,677226,121170433000,58458490,10405611220000
20200210,090430,KR7090430000,아모레퍼시픽,KOSPI,182000,4000,2.25,178000,182000,175000,398642,71634405500,58458490,10639445180000
20200211,090430,KR7090430000,아모레퍼시픽,KOSPI,182500,500,.27,183000,187000,181500,422297,77626217000,58458490,10668674425000
20200212,090430,KR7090430000,아모레퍼시픽,KOSPI,189500,7000,3.84,183000,191500,181000,550848,102778697500,58458490,11077883855000
20200213,090430,KR7090430000,아모레퍼시픽,KOSPI,189000,-500,-.26,190500,195000,187500,483640,92206492000,58458490,11048654610000
20200214,090430,KR7090430000,아모레퍼시픽,KOSPI,190500,1500,.79,187500,191500,187000,200811,38140633500,58458490,11136342345000
20200217,090430,KR7090430000,아모레퍼시픽,KOSPI,194500,4000,2.1,194500,198500,191000,402462,78384579500,58458490,11370176305000
20200218,090430,KR7090430000,아모레퍼시픽,KOSPI,190000,-4500,-2.31,194500,194500,189000,200139,38195351000,58458490,11107113100000
20200219,090430,KR7090430000,아모레퍼시픽,KOSPI,188000,-2000,-1.05,190000,192500,185000,272526,51142745500,58458490,10990196120000
20200220,090430,KR7090430000,아모레퍼시픽,KOSPI,183500,-4500,-2.39,188000,190000,182500,418611,77119109500,58458490,10727132915000
20200221,090430,KR7090430000,아모레퍼시픽,KOSPI,182000,-1500,-.82,180000,186500,178500,284559,51838260000,58458490,10639445180000
20200224,090430,KR7090430000,아모레퍼시픽,KOSPI,173000,-9000,-4.95,176000,178000,172500,495760,86518748500,58458490,10113318770000
20200225,090430,KR7090430000,아모레퍼시픽,KOSPI,175000,2000,1.16,173000,176000,171000,449887,78471717000,58458490,10230235750000
20200226,090430,KR7090430000,아모레퍼시픽,KOSPI,171500,-3500,-2,172500,174000,170500,315053,54114424000,58458490,10025631035000
20200227,090430,KR7090430000,아모레퍼시픽,KOSPI,168500,-3000,-1.75,171500,173500,165000,363108,61130362500,58458490,9850255565000
20200228,090430,KR7090430000,아모레퍼시픽,KOSPI,161000,-7500,-4.45,164000,167500,158000,597683,96740699500,58458490,9411816890000
20200302,090430,KR7090430000,아모레퍼시픽,KOSPI,166500,5500,3.42,161000,168500,160000,379836,62986193000,58458490,9733338585000
20200303,090430,KR7090430000,아모레퍼시픽,KOSPI,164000,-2500,-1.5,170500,171500,163500,334135,56004164000,58458490,9587192360000
20200304,090430,KR7090430000,아모레퍼시픽,KOSPI,167000,3000,1.83,164000,169500,163500,251076,42162055500,58458490,9762567830000
20200305,090430,KR7090430000,아모레퍼시픽,KOSPI,172500,5500,3.29,170000,174500,167000,352295,60382597000,58458490,10084089525000
20200306,090430,KR7090430000,아모레퍼시픽,KOSPI,169000,-3500,-2.03,170500,170500,166500,209291,35223956000,58458490,9879484810000
20200309,090430,KR7090430000,아모레퍼시픽,KOSPI,162500,-6500,-3.85,164500,167500,162000,219827,36053867000,58458490,9499504625000
20200310,090430,KR7090430000,아모레퍼시픽,KOSPI,167000,4500,2.77,160000,169000,159000,390471,64414956000,58458490,9762567830000
20200311,090430,KR7090430000,아모레퍼시픽,KOSPI,159000,-8000,-4.79,167500,169000,158000,310982,50341920500,58458490,9294899910000
20200312,090430,KR7090430000,아모레퍼시픽,KOSPI,155000,-4000,-2.52,158500,160500,151500,630482,97417881500,58458490,9061065950000
20200313,090430,KR7090430000,아모레퍼시픽,KOSPI,151000,-4000,-2.58,144000,155500,144000,629423,93689182500,58458490,8827231990000
20200316,090430,KR7090430000,아모레퍼시픽,KOSPI,147500,-3500,-2.32,155000,157500,147000,263134,40096125000,58458490,8622627275000
20200317,090430,KR7090430000,아모레퍼시픽,KOSPI,155000,7500,5.08,142000,156000,141500,412149,62578054500,58458490,9061065950000
20200318,090430,KR7090430000,아모레퍼시픽,KOSPI,160000,5000,3.23,157000,178000,155000,895111,149655437000,58458490,9353358400000
20200319,090430,KR7090430000,아모레퍼시픽,KOSPI,159500,-500,-.31,168500,171500,151000,932490,150223033500,58458490,9324129155000
20200320,090430,KR7090430000,아모레퍼시픽,KOSPI,165500,6000,3.76,168000,169000,158500,380927,62397392000,58458490,9674880095000
20200323,090430,KR7090430000,아모레퍼시픽,KOSPI,159500,-6000,-3.63,154500,163500,153500,316855,50438651000,58458490,9324129155000
20200324,090430,KR7090430000,아모레퍼시픽,KOSPI,171000,11500,7.21,163500,173000,161000,433417,72749252500,58458490,9996401790000
20200325,090430,KR7090430000,아모레퍼시픽,KOSPI,177500,6500,3.8,177500,182500,174500,479162,85048827500,58458490,10376381975000
20200326,090430,KR7090430000,아모레퍼시픽,KOSPI,178000,500,.28,178500,182000,174000,414298,74147132500,58458490,10405611220000
20200327,090430,KR7090430000,아모레퍼시픽,KOSPI,172000,-6000,-3.37,185000,185000,167500,432871,75665835500,58458490,10054860280000
20200330,090430,KR7090430000,아모레퍼시픽,KOSPI,169000,-3000,-1.74,165500,170000,163000,284889,47369844000,58458490,9879484810000
20200331,090430,KR7090430000,아모레퍼시픽,KOSPI,168500,-500,-.3,173000,173000,164500,302409,50806874500,58458490,9850255565000
20200401,090430,KR7090430000,아모레퍼시픽,KOSPI,158000,-10500,-6.23,165500,167500,157500,422750,69045206000,58458490,9236441420000
20200402,090430,KR7090430000,아모레퍼시픽,KOSPI,161500,3500,2.22,159000,163500,156000,266576,42751464500,58458490,9441046135000
20200403,090430,KR7090430000,아모레퍼시픽,KOSPI,161000,-500,-.31,161000,163000,158500,192112,30832137500,58458490,9411816890000
20200406,090430,KR7090430000,아모레퍼시픽,KOSPI,167000,6000,3.73,162500,167500,162000,330947,54800512500,58458490,9762567830000
20200407,090430,KR7090430000,아모레퍼시픽,KOSPI,170000,3000,1.8,171000,172500,165500,324276,54781748000,58458490,9937943300000
20200408,090430,KR7090430000,아모레퍼시픽,KOSPI,171500,1500,.88,169500,176500,166500,466827,80458833000,58458490,10025631035000
20200409,090430,KR7090430000,아모레퍼시픽,KOSPI,171500,0,0,174500,175000,168500,366516,62721123168,58458490,10025631035000
20200410,090430,KR7090430000,아모레퍼시픽,KOSPI,172000,500,.29,170000,172500,167500,213747,36318249500,58458490,10054860280000
20200413,090430,KR7090430000,아모레퍼시픽,KOSPI,171500,-500,-.29,173000,175500,169000,310311,53420377500,58458490,10025631035000
20200414,090430,KR7090430000,아모레퍼시픽,KOSPI,172000,500,.29,174000,174000,171000,179886,30990447500,58458490,10054860280000
20200416,090430,KR7090430000,아모레퍼시픽,KOSPI,172500,500,.29,169500,173000,169000,198097,33947674500,58458490,10084089525000
20200417,090430,KR7090430000,아모레퍼시픽,KOSPI,180500,8000,4.64,176000,185000,175500,658064,119008187000,58458490,10551757445000
20200420,090430,KR7090430000,아모레퍼시픽,KOSPI,177000,-3500,-1.94,180500,182500,177000,294843,52847805500,58458490,10347152730000
20200421,090430,KR7090430000,아모레퍼시픽,KOSPI,172000,-5000,-2.82,176000,178500,164000,489241,84435988500,58458490,10054860280000
20200422,090430,KR7090430000,아모레퍼시픽,KOSPI,175000,3000,1.74,171000,175000,168000,217773,37242366000,58458490,10230235750000
20200423,090430,KR7090430000,아모레퍼시픽,KOSPI,176500,1500,.86,174500,178500,171500,384962,67433506500,58458490,10317923485000
20200424,090430,KR7090430000,아모레퍼시픽,KOSPI,171000,-5500,-3.12,175500,176000,170000,334396,57603855500,58458490,9996401790000
20200427,090430,KR7090430000,아모레퍼시픽,KOSPI,171500,500,.29,171500,173000,170500,231835,39779994000,58458490,10025631035000
20200428,090430,KR7090430000,아모레퍼시픽,KOSPI,176000,4500,2.62,173000,181000,171000,599392,105763351000,58458490,10288694240000
20200429,090430,KR7090430000,아모레퍼시픽,KOSPI,177000,1000,.57,178000,179000,173000,445182,78533708000,58458490,10347152730000
20200504,090430,KR7090430000,아모레퍼시픽,KOSPI,174500,-2500,-1.41,174500,181500,173500,405793,72126525000,58458490,10201006505000
20200506,090430,KR7090430000,아모레퍼시픽,KOSPI,178000,3500,2.01,179000,181000,177000,288720,51566520500,58458490,10405611220000
20200507,090430,KR7090430000,아모레퍼시픽,KOSPI,179500,1500,.84,177500,180000,176500,272948,48762984500,58458490,10493298955000
20200508,090430,KR7090430000,아모레퍼시픽,KOSPI,181500,2000,1.11,182000,184000,180500,337541,61445692500,58458490,10610215935000
20200511,090430,KR7090430000,아모레퍼시픽,KOSPI,175500,-6000,-3.31,181000,181000,175500,303382,53885110000,58458490,10259464995000
20200512,090430,KR7090430000,아모레퍼시픽,KOSPI,172000,-3500,-1.99,175500,176000,171500,318411,54893828000,58458490,10054860280000
20200513,090430,KR7090430000,아모레퍼시픽,KOSPI,175000,3000,1.74,169500,175000,169000,196618,33705183000,58458490,10230235750000
20200514,090430,KR7090430000,아모레퍼시픽,KOSPI,176000,1000,.57,176000,176500,171500,278082,48436253000,58458490,10288694240000
20200515,090430,KR7090430000,아모레퍼시픽,KOSPI,170500,-5500,-3.13,175500,175500,170000,279262,47859927000,58458490,9967172545000
20200518,090430,KR7090430000,아모레퍼시픽,KOSPI,172000,1500,.88,171000,172000,168500,198110,33797513000,58458490,10054860280000
20200519,090430,KR7090430000,아모레퍼시픽,KOSPI,177000,5000,2.91,176500,179000,174500,413902,73064593000,58458490,10347152730000
20200520,090430,KR7090430000,아모레퍼시픽,KOSPI,175000,-2000,-1.13,175500,177500,175000,211116,37087047500,58458490,10230235750000
20200521,090430,KR7090430000,아모레퍼시픽,KOSPI,175000,0,0,176500,177000,174000,206479,36176849000,58458490,10230235750000
20200522,090430,KR7090430000,아모레퍼시픽,KOSPI,170000,-5000,-2.86,176000,177000,169500,348683,59720221000,58458490,9937943300000
20200525,090430,KR7090430000,아모레퍼시픽,KOSPI,168500,-1500,-.88,171000,171500,166000,305625,51402112500,58458490,9850255565000
20200526,090430,KR7090430000,아모레퍼시픽,KOSPI,167500,-1000,-.59,168500,169500,166500,315733,53028964500,58458490,9791797075000
20200527,090430,KR7090430000,아모레퍼시픽,KOSPI,169500,2000,1.19,168000,169500,167500,221775,37373579000,58458490,9908714055000
20200528,090430,KR7090430000,아모레퍼시픽,KOSPI,166500,-3000,-1.77,171000,171000,165500,312398,52297968799,58458490,9733338585000
20200529,090430,KR7090430000,아모레퍼시픽,KOSPI,163000,-3500,-2.1,165500,166000,162000,380315,62155071500,58458490,9528733870000
20200601,090430,KR7090430000,아모레퍼시픽,KOSPI,166000,3000,1.84,163500,167000,162000,220312,36467615000,58458490,9704109340000
20200602,090430,KR7090430000,아모레퍼시픽,KOSPI,167000,1000,.6,164500,167500,164000,164223,27301275000,58458490,9762567830000
20200603,090430,KR7090430000,아모레퍼시픽,KOSPI,170000,3000,1.8,168000,171000,168000,406145,68865185500,58458490,9937943300000
20200604,090430,KR7090430000,아모레퍼시픽,KOSPI,173000,3000,1.76,171000,179000,170000,807378,141205013500,58458490,10113318770000
20200605,090430,KR7090430000,아모레퍼시픽,KOSPI,175000,2000,1.16,176000,177000,173000,277550,48481231500,58458490,10230235750000
20200608,090430,KR7090430000,아모레퍼시픽,KOSPI,179000,4000,2.29,178500,180000,174000,440502,78250697000,58458490,10464069710000
20200609,090430,KR7090430000,아모레퍼시픽,KOSPI,176000,-3000,-1.68,179500,182000,174500,306346,54305854000,58458490,10288694240000
20200610,090430,KR7090430000,아모레퍼시픽,KOSPI,174500,-1500,-.85,175000,177000,173000,219943,38286810500,58458490,10201006505000
20200611,090430,KR7090430000,아모레퍼시픽,KOSPI,172000,-2500,-1.43,173000,175500,170500,342147,58978683500,58458490,10054860280000
20200612,090430,KR7090430000,아모레퍼시픽,KOSPI,168000,-4000,-2.33,165000,169000,164500,217273,36342761000,58458490,9821026320000
20200615,090430,KR7090430000,아모레퍼시픽,KOSPI,160500,-7500,-4.46,167000,167500,160000,321454,52603954500,58458490,9382587645000
20200616,090430,KR7090430000,아모레퍼시픽,KOSPI,167500,7000,4.36,163000,168000,163000,193585,32036138000,58458490,9791797075000
20200617,090430,KR7090430000,아모레퍼시픽,KOSPI,161500,-6000,-3.58,164500,166500,158500,545328,87746143000,58458490,9441046135000
20200618,090430,KR7090430000,아모레퍼시픽,KOSPI,161000,-500,-.31,160000,162500,159500,169116,27245645500,58458490,9411816890000
20200619,090430,KR7090430000,아모레퍼시픽,KOSPI,162000,1000,.62,161500,162500,160000,170979,27512780000,58458490,9470275380000
20200622,090430,KR7090430000,아모레퍼시픽,KOSPI,157000,-5000,-3.09,160500,161500,157000,293461,46536735500,58458490,9177982930000
20200623,090430,KR7090430000,아모레퍼시픽,KOSPI,154500,-2500,-1.59,158000,160000,153500,321870,50086122410,58458490,9031836705000
20200624,090430,KR7090430000,아모레퍼시픽,KOSPI,155000,500,.32,155000,156000,154000,163429,25352122000,58458490,9061065950000
20200625,090430,KR7090430000,아모레퍼시픽,KOSPI,150000,-5000,-3.23,153500,154500,149000,301932,45506051000,58458490,8768773500000
20200626,090430,KR7090430000,아모레퍼시픽,KOSPI,158000,8000,5.33,151500,158500,150000,374777,57998865000,58458490,9236441420000
20200629,090430,KR7090430000,아모레퍼시픽,KOSPI,153000,-5000,-3.16,154500,155000,151500,230664,35314134500,58458490,8944148970000
20200630,090430,KR7090430000,아모레퍼시픽,KOSPI,167500,14500,9.48,154500,180000,154000,3896837,667775850000,58458490,9791797075000
20200701,090430,KR7090430000,아모레퍼시픽,KOSPI,162500,-5000,-2.99,164000,167000,159000,661902,107408047500,58458490,9499504625000
20200702,090430,KR7090430000,아모레퍼시픽,KOSPI,168000,5500,3.38,164000,171500,163000,509576,85583002000,58458490,9821026320000
20200703,090430,KR7090430000,아모레퍼시픽,KOSPI,167000,-1000,-.6,166500,172000,164000,386468,64880153000,58458490,9762567830000
20200706,090430,KR7090430000,아모레퍼시픽,KOSPI,163000,-4000,-2.4,167000,167500,162500,315204,51815972000,58458490,9528733870000
20200707,090430,KR7090430000,아모레퍼시픽,KOSPI,163500,500,.31,164000,165000,161000,237400,38700869500,58458490,9557963115000
20200708,090430,KR7090430000,아모레퍼시픽,KOSPI,162000,-1500,-.92,163500,165000,162000,184342,30099010000,58458490,9470275380000
20200709,090430,KR7090430000,아모레퍼시픽,KOSPI,162500,500,.31,163000,163000,159000,305135,49007602500,58458490,9499504625000
20200710,090430,KR7090430000,아모레퍼시픽,KOSPI,157000,-5500,-3.38,161500,161500,156000,278371,43839440000,58458490,9177982930000
20200713,090430,KR7090430000,아모레퍼시픽,KOSPI,160000,3000,1.91,158000,162000,157000,182566,29260105000,58458490,9353358400000
20200714,090430,KR7090430000,아모레퍼시픽,KOSPI,164000,4000,2.5,160000,164500,159000,287892,46797518500,58458490,9587192360000
20200715,090430,KR7090430000,아모레퍼시픽,KOSPI,162000,-2000,-1.22,166000,166500,161000,216995,35280359500,58458490,9470275380000
20200716,090430,KR7090430000,아모레퍼시픽,KOSPI,165000,3000,1.85,161500,165500,161000,275129,45079577000,58458490,9645650850000
20200717,090430,KR7090430000,아모레퍼시픽,KOSPI,165000,0,0,165000,165500,163500,115773,19075681000,58458490,9645650850000
20200720,090430,KR7090430000,아모레퍼시픽,KOSPI,165000,0,0,166000,166500,163000,206010,33909204000,58458490,9645650850000
20200721,090430,KR7090430000,아모레퍼시픽,KOSPI,171000,6000,3.64,165500,171000,165500,446891,75492616000,58458490,9996401790000
20200722,090430,KR7090430000,아모레퍼시픽,KOSPI,167500,-3500,-2.05,170500,170500,166000,183774,30826621000,58458490,9791797075000
20200723,090430,KR7090430000,아모레퍼시픽,KOSPI,165500,-2000,-1.19,167000,167500,163000,181610,29951218000,58458490,9674880095000
20200724,090430,KR7090430000,아모레퍼시픽,KOSPI,163500,-2000,-1.21,165000,166500,163500,182640,30033429000,58458490,9557963115000
20200727,090430,KR7090430000,아모레퍼시픽,KOSPI,164500,1000,.61,163500,166000,163500,104358,17198103000,58458490,9616421605000
20200728,090430,KR7090430000,아모레퍼시픽,KOSPI,163000,-1500,-.91,164500,166000,162000,167352,27361002500,58458490,9528733870000
20200729,090430,KR7090430000,아모레퍼시픽,KOSPI,163500,500,.31,162500,165000,161500,184972,30278713000,58458490,9557963115000
20200730,090430,KR7090430000,아모레퍼시픽,KOSPI,166000,2500,1.53,163000,169500,163000,314375,52593640500,58458490,9704109340000
20200731,090430,KR7090430000,아모레퍼시픽,KOSPI,166000,0,0,166500,168000,163500,251624,41619706500,58458490,9704109340000
20200803,090430,KR7090430000,아모레퍼시픽,KOSPI,160500,-5500,-3.31,165000,165500,159500,367015,58987815500,58458490,9382587645000
20200804,090430,KR7090430000,아모레퍼시픽,KOSPI,163000,2500,1.56,160500,164500,160500,188454,30666178000,58458490,9528733870000
20200805,090430,KR7090430000,아모레퍼시픽,KOSPI,165000,2000,1.23,163000,166000,163000,193685,31939811000,58458490,9645650850000
20200806,090430,KR7090430000,아모레퍼시픽,KOSPI,167500,2500,1.52,166000,168500,164500,219583,36598592500,58458490,9791797075000
20200807,090430,KR7090430000,아모레퍼시픽,KOSPI,169500,2000,1.19,167500,174500,166500,496387,84811870500,58458490,9908714055000
20200810,090430,KR7090430000,아모레퍼시픽,KOSPI,168000,-1500,-.88,171500,171500,165000,295625,49419771500,58458490,9821026320000
20200811,090430,KR7090430000,아모레퍼시픽,KOSPI,174000,6000,3.57,167500,176000,167500,689627,119771553000,58458490,10171777260000
20200812,090430,KR7090430000,아모레퍼시픽,KOSPI,182000,8000,4.6,174500,182000,174000,894705,160560336500,58458490,10639445180000
20200813,090430,KR7090430000,아모레퍼시픽,KOSPI,187500,5500,3.02,186000,192500,184000,1022663,192848497000,58458490,10960966875000
20200814,090430,KR7090430000,아모레퍼시픽,KOSPI,196500,9000,4.8,194000,197500,187500,795049,153883588000,58458490,11487093285000
20200818,090430,KR7090430000,아모레퍼시픽,KOSPI,176500,-20000,-10.18,192500,194000,175000,867824,157095766000,58458490,10317923485000
20200819,090430,KR7090430000,아모레퍼시픽,KOSPI,182000,5500,3.12,179500,184500,176000,489881,88767027500,58458490,10639445180000
20200820,090430,KR7090430000,아모레퍼시픽,KOSPI,172500,-9500,-5.22,179000,180500,170500,475380,82761628500,58458490,10084089525000
20200821,090430,KR7090430000,아모레퍼시픽,KOSPI,174000,1500,.87,173500,178000,171500,294186,51345750000,58458490,10171777260000
20200824,090430,KR7090430000,아모레퍼시픽,KOSPI,176000,2000,1.15,173000,176500,168500,371220,64113881000,58458490,10288694240000
20200825,090430,KR7090430000,아모레퍼시픽,KOSPI,178000,2000,1.14,176500,179000,174500,278665,49362563000,58458490,10405611220000
20200826,090430,KR7090430000,아모레퍼시픽,KOSPI,173000,-5000,-2.81,176500,176500,171000,310399,53669986500,58458490,10113318770000
20200827,090430,KR7090430000,아모레퍼시픽,KOSPI,171500,-1500,-.87,172500,172500,168500,270982,46261192000,58458490,10025631035000
20200828,090430,KR7090430000,아모레퍼시픽,KOSPI,170500,-1000,-.58,171500,174000,169500,210366,36077028500,58458490,9967172545000
20200831,090430,KR7090430000,아모레퍼시픽,KOSPI,168000,-2500,-1.47,171000,172000,167500,264276,44630357500,58458490,9821026320000
20200901,090430,KR7090430000,아모레퍼시픽,KOSPI,169000,1000,.6,168000,171000,168000,222471,37636266000,58458490,9879484810000
20200902,090430,KR7090430000,아모레퍼시픽,KOSPI,171500,2500,1.48,170000,174500,169500,264065,45455080000,58458490,10025631035000
20200903,090430,KR7090430000,아모레퍼시픽,KOSPI,172000,500,.29,173000,173500,171000,214555,36901558500,58458490,10054860280000
20200904,090430,KR7090430000,아모레퍼시픽,KOSPI,169500,-2500,-1.45,168500,170500,166000,235920,39870918000,58458490,9908714055000
20200907,090430,KR7090430000,아모레퍼시픽,KOSPI,170000,500,.29,171500,171500,168500,133506,22681718000,58458490,9937943300000
20200908,090430,KR7090430000,아모레퍼시픽,KOSPI,170000,0,0,170500,172000,169000,135229,23023548500,58458490,9937943300000
20200909,090430,KR7090430000,아모레퍼시픽,KOSPI,167000,-3000,-1.76,167500,169000,166500,188396,31494711500,58458490,9762567830000
20200910,090430,KR7090430000,아모레퍼시픽,KOSPI,166000,-1000,-.6,168000,168500,166000,191392,31945066500,58458490,9704109340000
20200911,090430,KR7090430000,아모레퍼시픽,KOSPI,167500,1500,.9,166000,169000,165500,136652,22827285500,58458490,9791797075000
20200914,090430,KR7090430000,아모레퍼시픽,KOSPI,168000,500,.3,168500,168500,166500,122143,20505678000,58458490,9821026320000
20200915,090430,KR7090430000,아모레퍼시픽,KOSPI,169500,1500,.89,168500,171000,167000,187317,31668443500,58458490,9908714055000
20200916,090430,KR7090430000,아모레퍼시픽,KOSPI,170000,500,.29,171000,174500,169000,282521,48683502000,58458490,9937943300000
20200917,090430,KR7090430000,아모레퍼시픽,KOSPI,167000,-3000,-1.76,169500,169500,166500,222429,37276762500,58458490,9762567830000
20200918,090430,KR7090430000,아모레퍼시픽,KOSPI,168500,1500,.9,167500,168500,166000,123183,20635449000,58458490,9850255565000
20200921,090430,KR7090430000,아모레퍼시픽,KOSPI,166500,-2000,-1.19,167500,169000,166000,131252,21976412500,58458490,9733338585000
20200922,090430,KR7090430000,아모레퍼시픽,KOSPI,163000,-3500,-2.1,165500,166000,162000,220308,35896215500,58458490,9528733870000
20200923,090430,KR7090430000,아모레퍼시픽,KOSPI,162500,-500,-.31,163500,164500,160500,185128,30127119500,58458490,9499504625000
20200924,090430,KR7090430000,아모레퍼시픽,KOSPI,159500,-3000,-1.85,161500,162000,158500,176132,28128739500,58458490,9324129155000
20200925,090430,KR7090430000,아모레퍼시픽,KOSPI,159500,0,0,162000,162000,158500,498818,79196923500,58458490,9324129155000
20200928,090430,KR7090430000,아모레퍼시픽,KOSPI,161500,2000,1.25,162500,165000,161000,127905,20770551500,58458490,9441046135000
20200929,090430,KR7090430000,아모레퍼시픽,KOSPI,164000,2500,1.55,164000,164500,162000,138205,22589194000,58458490,9587192360000
20201005,090430,KR7090430000,아모레퍼시픽,KOSPI,169000,5000,3.05,165500,169000,164000,209158,35008352500,58458490,9879484810000
20201006,090430,KR7090430000,아모레퍼시픽,KOSPI,167000,-2000,-1.18,168500,169000,166500,105945,17754101500,58458490,9762567830000
20201007,090430,KR7090430000,아모레퍼시픽,KOSPI,169000,2000,1.2,168500,169000,166000,74236,12482502500,58458490,9879484810000
20201008,090430,KR7090430000,아모레퍼시픽,KOSPI,169500,500,.3,170000,170000,167000,180811,30593118500,58458490,9908714055000
20201012,090430,KR7090430000,아모레퍼시픽,KOSPI,173500,4000,2.36,172500,174500,170500,322389,55800584500,58458490,10142548015000
20201013,090430,KR7090430000,아모레퍼시픽,KOSPI,168500,-5000,-2.88,173500,173500,167000,252221,42573745500,58458490,9850255565000
20201014,090430,KR7090430000,아모레퍼시픽,KOSPI,165500,-3000,-1.78,167500,168500,165000,148349,24662032000,58458490,9674880095000
20201015,090430,KR7090430000,아모레퍼시픽,KOSPI,163000,-2500,-1.51,165500,165500,163000,127508,20896591000,58458490,9528733870000
20201016,090430,KR7090430000,아모레퍼시픽,KOSPI,168000,5000,3.07,164000,169000,163500,248325,41442693000,58458490,9821026320000
20201019,090430,KR7090430000,아모레퍼시픽,KOSPI,170000,2000,1.19,169000,172000,167000,276585,47072549950,58458490,9937943300000
20201020,090430,KR7090430000,아모레퍼시픽,KOSPI,168500,-1500,-.88,168000,170000,166000,162828,27305249500,58458490,9850255565000
20201021,090430,KR7090430000,아모레퍼시픽,KOSPI,167000,-1500,-.89,169000,172000,166000,253417,42727277417,58458490,9762567830000
20201022,090430,KR7090430000,아모레퍼시픽,KOSPI,167000,0,0,166500,168000,165000,127573,21221952000,58458490,9762567830000
20201023,090430,KR7090430000,아모레퍼시픽,KOSPI,167500,500,.3,168000,168000,166000,145378,24326641500,58458490,9791797075000
20201026,090430,KR7090430000,아모레퍼시픽,KOSPI,164500,-3000,-1.79,166000,167500,163000,173079,28536835500,58458490,9616421605000
20201027,090430,KR7090430000,아모레퍼시픽,KOSPI,161000,-3500,-2.13,162500,164000,159500,322030,51826659000,58458490,9411816890000
20201028,090430,KR7090430000,아모레퍼시픽,KOSPI,161000,0,0,159500,163000,159500,158087,25410021000,58458490,9411816890000
20201029,090430,KR7090430000,아모레퍼시픽,KOSPI,165000,4000,2.48,161000,167500,159500,456095,75322037000,58458490,9645650850000
20201030,090430,KR7090430000,아모레퍼시픽,KOSPI,158000,-7000,-4.24,166000,166000,158000,362898,58065580500,58458490,9236441420000
